ClassName,Statement,Day
"Reader's Workshop","I can identify how an author uses a character's actions and feelings to reveal a big idea or theme.",1
"Reader's Workshop","I can use a sticky note to record a detail and the big idea it represents.",1
"Reader's Workshop","I can identify challenges a character faces in a story.",2
"Reader's Workshop","I can explain how a character responds to a challenge and how that response connects to a story's theme.",2
"Reader's Workshop","I can identify how characters interact with each other in a story.",3
"Reader's Workshop","I can explain how these interactions develop the story's themes.",3
"Reader's Workshop","I can identify important settings in a story.",4
"Reader's Workshop","I can explain how a setting influences a character's feelings or actions.",4
"Reader's Workshop","I can connect the influence of setting to a story's theme.",4
"Reader's Workshop","I can combine my understanding of characters, their interactions, and settings to identify a major theme.",5
"Reader's Workshop","I can explain how different story elements work together to develop a theme.",5
"Reader's Workshop","I can identify specific words an author uses to describe a character.",6
"Reader's Workshop","I can explain how these words help me understand the character better and hint at a theme.",6
"Reader's Workshop","I can identify similes and metaphors in a story.",7
"Reader's Workshop","I can explain what a simile or metaphor means in the context of the story.",7
"Reader's Workshop","I can connect figurative language to the development of character and theme.",7
"Reader's Workshop","I can identify hyperbole and personification in a story.",8
"Reader's Workshop","I can explain how these literary devices add to the story's meaning.",8
"Reader's Workshop","I can connect these devices to character development and theme.",8
"Reader's Workshop","I can identify an author's specific craft choices (word choice, figurative language).",9
"Reader's Workshop","I can explain how these craft choices strengthen a story's theme.",9
"Reader's Workshop","I can identify who is telling the story (the narrator).",10
"Reader's Workshop","I can explain how different narrators have different feelings and thoughts about events.",10
"Reader's Workshop","I can explain how a narrator's point of view shapes what I learn about other characters.",11
"Reader's Workshop","I can recognize that characters might be seen differently depending on who is telling the story.",11
"Reader's Workshop","I can identify chapters told from different characters' points of view.",12
"Reader's Workshop","I can explain how switching narrators helps me get a fuller picture of the story and its themes.",12
"Reader's Workshop","I can explain how point of view influences the author's craft choices (word choice, figurative language).",13
"Reader's Workshop","I can show how both point of view and craft work together to develop a story's themes.",13
"Reader's Workshop","I can identify the main characters and setting in a new story ('The One and Only Ivan').",14
"Reader's Workshop","I can make initial predictions about potential themes based on early character and setting details.",14
"Reader's Workshop","I can identify emerging themes in 'The One and Only Ivan' based on character actions and events.",15
"Reader's Workshop","I can support my identified themes with textual evidence from the book.",15
"Reader's Workshop","I can identify a challenge faced by a character in 'Wonder' and 'The One and Only Ivan.'",16
"Reader's Workshop","I can compare and contrast how characters from both books respond to similar challenges.",16
"Reader's Workshop","I can explain how their responses reveal different facets of a shared theme.",16
"Reader's Workshop","I can identify a common theme present in both 'Wonder' and 'The One and Only Ivan.'",17
"Reader's Workshop","I can use evidence from both texts to support the identified common theme.",17
"Reader's Workshop","I can identify a shared theme across 'Wonder' and 'The One and Only Ivan.'",18
"Reader's Workshop","I can explain how each author uses different literary devices (e.g., word choice, figurative language, point of view) to develop that same theme.",18
