ClassName,Statement
Math 8,I can solve equations with variables on both sides.
Math 8,I can graph a linear equation using slope-intercept form.
Math 8,I can apply the Pythagorean theorem to find unknown side lengths.
Science 8,I can identify the parts of an atom.
Science 8,I can describe the process of photosynthesis.
Science 8,I can balance a chemical equation.
History 8,I can analyze the causes of the American Revolution.
History 8,I can describe the major events of the Civil War.
English 8,I can identify the main theme in a piece of literature.
English 8,I can write a persuasive essay using supporting evidence.
English 8,I can use commas and semicolons correctly.
